CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio1,192.168.1.254,192.168.1.22,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-07,03-09-45,17,5.0,2.0,6.0,29.0,26-08:48:29,70,-80.0,-107.0,-80.0,-107.0,27.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:42:19,0-00:18:53,7.3,-90.0,-92.0,-88.0,-97.0,9.0,MCS 10 short GI,7841,MCS 0 short GI,2022,0
2025-03-07,03-09-55,17,5.0,2.0,6.0,29.0,26-08:48:41,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:42:31,0-00:19:05,7.3,-90.0,-91.0,-88.0,-97.0,9.0,MCS 10 short GI,7943,MCS 0 short GI,2050,0
2025-03-07,03-10-05,17,5.0,2.0,6.0,29.0,26-08:48:53,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:42:40,0-00:19:16,7.3,-90.0,-92.0,-88.0,-98.0,10.0,MCS 10,8038,MCS 0 short GI,2078,0
2025-03-07,03-10-16,17,5.0,2.0,6.0,29.0,26-08:49:00,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:42:52,0-00:19:24,7.3,-90.0,-93.0,-88.0,-98.0,10.0,MCS 10 short GI,8090,MCS 0 short GI,2099,0
2025-03-07,03-10-26,17,5.0,2.0,6.0,29.0,26-08:49:12,70,-81.0,-108.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:43:01,0-00:19:36,7.3,-89.0,-93.0,-88.0,-98.0,10.0,MCS 10,8195,MCS 0 short GI,2131,0
2025-03-07,03-10-37,17,5.0,2.0,6.0,29.0,26-08:49:24,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:43:13,0-00:19:47,7.3,-91.0,-94.0,-89.0,-98.0,9.0,MCS 10 short GI,8291,MCS 0 short GI,2159,0
2025-03-07,03-10-47,17,5.0,2.0,6.0,29.0,26-08:49:32,69,-80.0,-106.0,-80.0,-107.0,27.0,MCS 1 shortGI,MCS 10,33.0,0-12:43:22,0-00:19:55,7.3,-91.0,-95.0,-89.0,-98.0,9.0,MCS 10 short GI,8333,MCS 1 short GI,2173,0
2025-03-07,03-10-57,17,5.0,2.0,6.0,29.0,26-08:49:44,70,-80.0,-105.0,-80.0,-107.0,27.0,MCS 1 shortGI,MCS 10,33.0,0-12:43:34,0-00:20:07,7.3,-91.0,-94.0,-89.0,-98.0,9.0,MCS 10,8435,MCS 1 short GI,2204,0
2025-03-07,03-11-08,17,5.0,2.0,6.0,29.0,26-08:49:55,70,-81.0,-109.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 10,33.0,0-12:43:43,0-00:20:18,7.3,-90.0,-94.0,-89.0,-98.0,9.0,MCS 10,8533,MCS 1 short GI,2231,0
2025-03-07,03-11-18,17,5.0,2.0,6.0,29.0,26-08:50:03,70,-80.0,-108.0,-80.0,-107.0,27.0,MCS 1 shortGI,MCS 10,33.0,0-12:43:55,0-00:20:26,7.3,-91.0,-94.0,-89.0,-97.0,8.0,MCS 10,8588,MCS 1 short GI,2254,0
